C:\Users\alexc\AppData\Local\Programs\Python\Python311\python.exe D:\Cojo\agcojocaru-Adapting-unconstrained-spiking-neural-networks-to\experiments\mnist\train_spike_count.py 
2024-05-16 16:43:37.546826: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-05-16 16:43:38.501640: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
This network will be trained using DT = 0.03
Numpy seed: 1543502213, Cupy seed: 1146063536
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 109.58, Accuracy (%): 6.77, Silent labels (%): 21.9, Time (s): 19.58
Train | Epoch 0.2 | Loss: 109.02, Accuracy (%): 10.28, Silent labels (%): 0.03, Time (s): 43.21
Train | Epoch 0.3 | Loss: 114.81, Accuracy (%): 10.13, Silent labels (%): 0.0, Time (s): 65.96
Train | Epoch 0.4 | Loss: 115.62, Accuracy (%): 9.92, Silent labels (%): 0.0, Time (s): 88.27
Train | Epoch 0.5 | Loss: 115.9, Accuracy (%): 10.37, Silent labels (%): 0.0, Time (s): 110.1
Train | Epoch 0.6 | Loss: 115.96, Accuracy (%): 9.7, Silent labels (%): 0.0, Time (s): 131.57
Train | Epoch 0.7 | Loss: 115.97, Accuracy (%): 9.48, Silent labels (%): 0.0, Time (s): 153.08
Train | Epoch 0.8 | Loss: 115.97, Accuracy (%): 9.4, Silent labels (%): 0.0, Time (s): 174.93
Train | Epoch 0.9 | Loss: 116.0, Accuracy (%): 10.35, Silent labels (%): 0.0, Time (s): 196.19
Train | Epoch 1.0 | Loss: 116.0, Accuracy (%): 9.63, Silent labels (%): 0.0, Time (s): 217.3
Test | Epoch 1.0 | Loss: 115.99, Accuracy (%): 9.8, Learning rate: 0.003, Hidden layer 1 spike counts: 773.1, Output layer spike counts: 10.0, Hidden layer 1 silents (%): 0.12, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 497.94, Output layer weights norm: 85.73, Time (s): 2.13
Best accuracy: 9.8%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 116.0, Accuracy (%): 10.45, Silent labels (%): 0.0, Time (s): 20.75
Train | Epoch 1.2 | Loss: 116.0, Accuracy (%): 10.88, Silent labels (%): 0.0, Time (s): 41.78
Train | Epoch 1.3 | Loss: 116.0, Accuracy (%): 9.45, Silent labels (%): 0.0, Time (s): 63.03
Train | Epoch 1.4 | Loss: 116.0, Accuracy (%): 9.57, Silent labels (%): 0.0, Time (s): 83.77
Train | Epoch 1.5 | Loss: 116.0, Accuracy (%): 9.6, Silent labels (%): 0.0, Time (s): 104.52
Train | Epoch 1.6 | Loss: 116.0, Accuracy (%): 9.08, Silent labels (%): 0.0, Time (s): 125.4
Train | Epoch 1.7 | Loss: 116.0, Accuracy (%): 10.15, Silent labels (%): 0.0, Time (s): 146.23
Train | Epoch 1.8 | Loss: 116.0, Accuracy (%): 9.98, Silent labels (%): 0.0, Time (s): 167.3
Train | Epoch 1.9 | Loss: 116.0, Accuracy (%): 9.73, Silent labels (%): 0.0, Time (s): 188.29
Train | Epoch 2.0 | Loss: 116.0, Accuracy (%): 9.82, Silent labels (%): 0.0, Time (s): 211.55
Test | Epoch 2.0 | Loss: 116.0, Accuracy (%): 9.8, Learning rate: 0.003, Hidden layer 1 spike counts: 764.88, Output layer spike counts: 10.0, Hidden layer 1 silents (%): 0.25, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 557.93, Output layer weights norm: 122.33, Time (s): 3.27
Train | Epoch 2.1 | Loss: 116.0, Accuracy (%): 9.82, Silent labels (%): 0.0, Time (s): 22.94
Train | Epoch 2.2 | Loss: 116.0, Accuracy (%): 9.42, Silent labels (%): 0.0, Time (s): 45.86
Train | Epoch 2.3 | Loss: 116.0, Accuracy (%): 10.08, Silent labels (%): 0.0, Time (s): 68.75
Train | Epoch 2.4 | Loss: 116.0, Accuracy (%): 9.8, Silent labels (%): 0.0, Time (s): 91.74
Train | Epoch 2.5 | Loss: 116.0, Accuracy (%): 9.62, Silent labels (%): 0.0, Time (s): 114.77
Train | Epoch 2.6 | Loss: 116.0, Accuracy (%): 9.88, Silent labels (%): 0.0, Time (s): 137.9
Train | Epoch 2.7 | Loss: 116.0, Accuracy (%): 10.43, Silent labels (%): 0.0, Time (s): 161.02
Train | Epoch 2.8 | Loss: 116.0, Accuracy (%): 9.62, Silent labels (%): 0.0, Time (s): 184.12
Train | Epoch 2.9 | Loss: 116.0, Accuracy (%): 9.52, Silent labels (%): 0.0, Time (s): 208.06
Train | Epoch 3.0 | Loss: 116.0, Accuracy (%): 10.53, Silent labels (%): 0.0, Time (s): 231.25
Test | Epoch 3.0 | Loss: 116.0, Accuracy (%): 9.8, Learning rate: 0.003, Hidden layer 1 spike counts: 766.76, Output layer spike counts: 10.0, Hidden layer 1 silents (%): 0.25, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 635.56, Output layer weights norm: 163.97, Time (s): 3.25
Train | Epoch 3.1 | Loss: 116.0, Accuracy (%): 9.4, Silent labels (%): 0.0, Time (s): 22.96
