C:\Users\alexc\AppData\Local\Programs\Python\Python311\python.exe D:\Cojo\agcojocaru-Adapting-unconstrained-spiking-neural-networks-to\experiments\mnist\train_spike_count.py 
2024-05-20 11:25:06.412870: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2024-05-20 11:25:07.406722: I tensorflow/core/util/port.cc:113] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
STARTING RUN NUMBER 0





This network will be trained using DT = 0.015
Numpy seed: 523157788, Cupy seed: 1016678477
Loading datasets...
Creating network...
Training...
Train | Epoch 0.1 | Loss: 72.08, Accuracy (%): 41.9, Silent labels (%): 10.98, Time (s): 15.29
Train | Epoch 0.2 | Loss: 62.2, Accuracy (%): 40.62, Silent labels (%): 0.03, Time (s): 31.6
Train | Epoch 0.3 | Loss: 64.15, Accuracy (%): 34.83, Silent labels (%): 0.0, Time (s): 46.63
Train | Epoch 0.4 | Loss: 66.13, Accuracy (%): 31.12, Silent labels (%): 0.02, Time (s): 59.57
Train | Epoch 0.5 | Loss: 67.49, Accuracy (%): 27.18, Silent labels (%): 0.02, Time (s): 71.32
Train | Epoch 0.6 | Loss: 68.9, Accuracy (%): 25.33, Silent labels (%): 0.0, Time (s): 82.99
Train | Epoch 0.7 | Loss: 69.58, Accuracy (%): 23.08, Silent labels (%): 0.0, Time (s): 93.59
Train | Epoch 0.8 | Loss: 70.94, Accuracy (%): 21.45, Silent labels (%): 0.0, Time (s): 103.21
Train | Epoch 0.9 | Loss: 71.62, Accuracy (%): 20.7, Silent labels (%): 0.0, Time (s): 113.12
Train | Epoch 1.0 | Loss: 71.95, Accuracy (%): 19.2, Silent labels (%): 0.0, Time (s): 122.08
Test | Epoch 1.0 | Loss: 73.12, Accuracy (%): 17.77, Learning rate: 0.003, Hidden layer 1 spike counts: 665.35, Output layer spike counts: 31.61, Hidden layer 1 silents (%): 0.88, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 474.27, Output layer weights norm: 59.94, Time (s): 2.14
Best accuracy: 17.77%, Networks save to: best_model
Train | Epoch 1.1 | Loss: 73.48, Accuracy (%): 16.57, Silent labels (%): 0.0, Time (s): 8.28
Train | Epoch 1.2 | Loss: 72.99, Accuracy (%): 18.65, Silent labels (%): 0.0, Time (s): 17.12
Train | Epoch 1.3 | Loss: 73.88, Accuracy (%): 17.52, Silent labels (%): 0.0, Time (s): 27.03
Train | Epoch 1.4 | Loss: 73.95, Accuracy (%): 16.95, Silent labels (%): 0.02, Time (s): 36.41
Train | Epoch 1.5 | Loss: 75.06, Accuracy (%): 15.65, Silent labels (%): 0.0, Time (s): 45.81
Train | Epoch 1.6 | Loss: 75.03, Accuracy (%): 16.13, Silent labels (%): 0.0, Time (s): 54.83
Train | Epoch 1.7 | Loss: 75.72, Accuracy (%): 15.1, Silent labels (%): 0.02, Time (s): 63.73
Train | Epoch 1.8 | Loss: 76.23, Accuracy (%): 14.23, Silent labels (%): 0.0, Time (s): 71.37
Train | Epoch 1.9 | Loss: 76.57, Accuracy (%): 14.65, Silent labels (%): 0.0, Time (s): 79.02
Train | Epoch 2.0 | Loss: 77.05, Accuracy (%): 14.03, Silent labels (%): 0.0, Time (s): 86.26
Test | Epoch 2.0 | Loss: 77.28, Accuracy (%): 13.56, Learning rate: 0.003, Hidden layer 1 spike counts: 513.93, Output layer spike counts: 30.65, Hidden layer 1 silents (%): 1.38, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 490.56, Output layer weights norm: 66.03, Time (s): 1.98
Train | Epoch 2.1 | Loss: 77.24, Accuracy (%): 14.93, Silent labels (%): 0.02, Time (s): 7.1
Train | Epoch 2.2 | Loss: 77.79, Accuracy (%): 13.77, Silent labels (%): 0.0, Time (s): 14.22
Train | Epoch 2.3 | Loss: 78.33, Accuracy (%): 13.8, Silent labels (%): 0.0, Time (s): 21.08
Train | Epoch 2.4 | Loss: 78.85, Accuracy (%): 13.47, Silent labels (%): 0.0, Time (s): 27.98
Train | Epoch 2.5 | Loss: 78.98, Accuracy (%): 13.72, Silent labels (%): 0.0, Time (s): 35.11
Train | Epoch 2.6 | Loss: 79.41, Accuracy (%): 13.22, Silent labels (%): 0.0, Time (s): 42.1
Train | Epoch 2.7 | Loss: 78.96, Accuracy (%): 14.15, Silent labels (%): 0.0, Time (s): 48.85
Train | Epoch 2.8 | Loss: 80.02, Accuracy (%): 12.63, Silent labels (%): 0.0, Time (s): 55.65
Train | Epoch 2.9 | Loss: 79.76, Accuracy (%): 13.42, Silent labels (%): 0.0, Time (s): 62.23
Train | Epoch 3.0 | Loss: 80.24, Accuracy (%): 13.17, Silent labels (%): 0.0, Time (s): 68.7
Test | Epoch 3.0 | Loss: 80.51, Accuracy (%): 13.28, Learning rate: 0.003, Hidden layer 1 spike counts: 430.64, Output layer spike counts: 29.86, Hidden layer 1 silents (%): 1.38, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 507.12, Output layer weights norm: 71.91, Time (s): 2.07
Train | Epoch 3.1 | Loss: 80.45, Accuracy (%): 12.83, Silent labels (%): 0.0, Time (s): 6.36
Train | Epoch 3.2 | Loss: 80.93, Accuracy (%): 12.82, Silent labels (%): 0.0, Time (s): 12.72
Train | Epoch 3.3 | Loss: 80.55, Accuracy (%): 12.72, Silent labels (%): 0.0, Time (s): 19.07
Train | Epoch 3.4 | Loss: 81.15, Accuracy (%): 12.6, Silent labels (%): 0.0, Time (s): 25.54
Train | Epoch 3.5 | Loss: 81.37, Accuracy (%): 12.53, Silent labels (%): 0.0, Time (s): 31.81
Train | Epoch 3.6 | Loss: 81.53, Accuracy (%): 12.05, Silent labels (%): 0.0, Time (s): 38.17
Train | Epoch 3.7 | Loss: 81.5, Accuracy (%): 12.27, Silent labels (%): 0.02, Time (s): 44.39
Train | Epoch 3.8 | Loss: 81.75, Accuracy (%): 11.97, Silent labels (%): 0.0, Time (s): 50.58
Train | Epoch 3.9 | Loss: 81.39, Accuracy (%): 12.28, Silent labels (%): 0.0, Time (s): 56.68
Train | Epoch 4.0 | Loss: 82.45, Accuracy (%): 10.72, Silent labels (%): 0.02, Time (s): 62.87
Test | Epoch 4.0 | Loss: 82.12, Accuracy (%): 10.73, Learning rate: 0.003, Hidden layer 1 spike counts: 381.92, Output layer spike counts: 29.69, Hidden layer 1 silents (%): 1.25, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 524.59, Output layer weights norm: 78.43, Time (s): 2.05
Train | Epoch 4.1 | Loss: 81.81, Accuracy (%): 11.57, Silent labels (%): 0.0, Time (s): 5.8
Train | Epoch 4.2 | Loss: 82.36, Accuracy (%): 11.22, Silent labels (%): 0.0, Time (s): 11.77
Train | Epoch 4.3 | Loss: 82.0, Accuracy (%): 11.32, Silent labels (%): 0.0, Time (s): 17.82
Train | Epoch 4.4 | Loss: 82.93, Accuracy (%): 10.17, Silent labels (%): 0.0, Time (s): 24.03
Train | Epoch 4.5 | Loss: 82.04, Accuracy (%): 11.63, Silent labels (%): 0.0, Time (s): 30.19
Train | Epoch 4.6 | Loss: 82.56, Accuracy (%): 10.47, Silent labels (%): 0.0, Time (s): 36.0
Train | Epoch 4.7 | Loss: 82.42, Accuracy (%): 10.83, Silent labels (%): 0.0, Time (s): 41.93
Train | Epoch 4.8 | Loss: 82.37, Accuracy (%): 11.18, Silent labels (%): 0.0, Time (s): 48.02
Train | Epoch 4.9 | Loss: 82.36, Accuracy (%): 10.27, Silent labels (%): 0.0, Time (s): 54.02
Train | Epoch 5.0 | Loss: 82.36, Accuracy (%): 10.85, Silent labels (%): 0.02, Time (s): 59.66
Test | Epoch 5.0 | Loss: 82.92, Accuracy (%): 9.91, Learning rate: 0.003, Hidden layer 1 spike counts: 356.73, Output layer spike counts: 29.3, Hidden layer 1 silents (%): 1.12, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 543.01, Output layer weights norm: 86.23, Time (s): 1.78
Train | Epoch 5.1 | Loss: 82.48, Accuracy (%): 10.63, Silent labels (%): 0.0, Time (s): 5.29
Train | Epoch 5.2 | Loss: 82.46, Accuracy (%): 9.98, Silent labels (%): 0.0, Time (s): 10.74
Train | Epoch 5.3 | Loss: 82.19, Accuracy (%): 10.28, Silent labels (%): 0.0, Time (s): 16.14
Train | Epoch 5.4 | Loss: 82.97, Accuracy (%): 9.92, Silent labels (%): 0.0, Time (s): 22.5
Train | Epoch 5.5 | Loss: 82.32, Accuracy (%): 10.63, Silent labels (%): 0.0, Time (s): 29.25
Train | Epoch 5.6 | Loss: 82.78, Accuracy (%): 9.9, Silent labels (%): 0.02, Time (s): 35.82
Train | Epoch 5.7 | Loss: 82.75, Accuracy (%): 9.68, Silent labels (%): 0.0, Time (s): 42.61
Train | Epoch 5.8 | Loss: 82.79, Accuracy (%): 9.97, Silent labels (%): 0.0, Time (s): 49.21
Train | Epoch 5.9 | Loss: 83.3, Accuracy (%): 9.63, Silent labels (%): 0.0, Time (s): 55.66
Train | Epoch 6.0 | Loss: 82.92, Accuracy (%): 10.12, Silent labels (%): 0.0, Time (s): 62.67
Test | Epoch 6.0 | Loss: 84.05, Accuracy (%): 8.38, Learning rate: 0.003, Hidden layer 1 spike counts: 328.25, Output layer spike counts: 29.25, Hidden layer 1 silents (%): 1.12, Output layer silents (%): 0.0, Hidden layer 1 weights norm: 562.97, Output layer weights norm: 94.98, Time (s): 1.81
Train | Epoch 6.1 | Loss: 82.72, Accuracy (%): 9.93, Silent labels (%): 0.0, Time (s): 5.57
Train | Epoch 6.2 | Loss: 83.7, Accuracy (%): 9.18, Silent labels (%): 0.0, Time (s): 12.29
Train | Epoch 6.3 | Loss: 83.61, Accuracy (%): 8.83, Silent labels (%): 0.02, Time (s): 18.68
Train | Epoch 6.4 | Loss: 83.25, Accuracy (%): 9.8, Silent labels (%): 0.0, Time (s): 25.25
Train | Epoch 6.5 | Loss: 83.64, Accuracy (%): 9.15, Silent labels (%): 0.0, Time (s): 31.52
Train | Epoch 6.6 | Loss: 83.52, Accuracy (%): 9.55, Silent labels (%): 0.0, Time (s): 37.98
